discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_location,game_name,game_season,game_year
Biathlon,Men's 4x7.5km Relay,Men,GOLD,GameTeam,Norway,,,Norway,NO,NOR,China,Beijing 2022,Winter,2022
Biathlon,Men's 4x7.5km Relay,Men,SILVER,GameTeam,France,,,France,FR,FRA,China,Beijing 2022,Winter,2022
Biathlon,Men's 4x7.5km Relay,Men,BRONZE,GameTeam,ROC,,,ROC,ROC,ROC,China,Beijing 2022,Winter,2022
Alpine Skiing,Mixed Team Parallel,Mixed,GOLD,GameTeam,Austria,,,Austria,AT,AUT,China,Beijing 2022,Winter,2022
Alpine Skiing,Mixed Team Parallel,Mixed,SILVER,GameTeam,Germany,,,Germany,DE,GER,China,Beijing 2022,Winter,2022
Alpine Skiing,Mixed Team Parallel,Mixed,BRONZE,GameTeam,Norway,,,Norway,NO,NOR,China,Beijing 2022,Winter,2022
Cross Country Skiing,Men's 4 x 10km Relay,Men,GOLD,GameTeam,ROC,,,ROC,ROC,ROC,China,Beijing 2022,Winter,2022
Cross Country Skiing,Men's 4 x 10km Relay,Men,SILVER,GameTeam,Norway,,,Norway,NO,NOR,China,Beijing 2022,Winter,2022
Cross Country Skiing,Men's 4 x 10km Relay,Men,BRONZE,GameTeam,France,,,France,FR,FRA,China,Beijing 2022,Winter,2022
Cross Country Skiing,Women's 4 x 5km Relay,Women,GOLD,GameTeam,ROC,,,ROC,ROC,ROC,China,Beijing 2022,Winter,2022
Cross Country Skiing,Women's 4 x 5km Relay,Women,SILVER,GameTeam,Germany,,,Germany,DE,GER,China,Beijing 2022,Winter,2022
Cross Country Skiing,Women's 4 x 5km Relay,Women,BRONZE,GameTeam,Sweden,,,Sweden,SE,SWE,China,Beijing 2022,Winter,2022
Speed skating,Women's Team Pursuit,Women,GOLD,GameTeam,Canada,,,Canada,CA,CAN,China,Beijing 2022,Winter,2022
Speed skating,Women's Team Pursuit,Women,SILVER,GameTeam,Japan,,,Japan,JP,JPN,China,Beijing 2022,Winter,2022
Speed skating,Women's Team Pursuit,Women,BRONZE,GameTeam,Netherlands,,,Netherlands,NL,NED,China,Beijing 2022,Winter,2022
Speed skating,Men's Team Pursuit,Men,GOLD,GameTeam,Norway,,,Norway,NO,NOR,China,Beijing 2022,Winter,2022
Speed skating,Men's Team Pursuit,Men,SILVER,GameTeam,ROC,,,ROC,ROC,ROC,China,Beijing 2022,Winter,2022
Speed skating,Men's Team Pursuit,Men,BRONZE,GameTeam,United States of America,,,USA,US,USA,China,Beijing 2022,Winter,2022
Nordic Combined,Team Gundersen Large Hill/4x5km,Men,GOLD,GameTeam,Norway,,,Norway,NO,NOR,China,Beijing 2022,Winter,2022
Nordic Combined,Team Gundersen Large Hill/4x5km,Men,SILVER,GameTeam,Germany,,,Germany,DE,GER,China,Beijing 2022,Winter,2022
Nordic Combined,Team Gundersen Large Hill/4x5km,Men,BRONZE,GameTeam,Japan,,,Japan,JP,JPN,China,Beijing 2022,Winter,2022
Bobsleigh,4-man,Open,GOLD,GameTeam,Germany,,,Germany,DE,GER,China,Beijing 2022,Winter,2022
Bobsleigh,4-man,Open,SILVER,GameTeam,Germany,,,Germany,DE,GER,China,Beijing 2022,Winter,2022
Bobsleigh,4-man,Open,BRONZE,GameTeam,Canada,,,Canada,CA,CAN,China,Beijing 2022,Winter,2022
Canoe Sprint,Men's Kayak Four 500m,Men,GOLD,GameTeam,Germany,,,Germany,DE,GER,Japan,Tokyo 2020,Summer,2020
Canoe Sprint,Men's Kayak Four 500m,Men,SILVER,GameTeam,Spain,,,Spain,ES,ESP,Japan,Tokyo 2020,Summer,2020
